channel_ref,channel_name,source,notes,channel_id
https://www.youtube.com/channel/UCQSEAbOs6vsJfy7WN7iYaGQ,EazySpeezy,search:speedrun,,UCQSEAbOs6vsJfy7WN7iYaGQ
https://www.youtube.com/channel/UCAnzaHhB0ONtwDkYdc3MFCw,Linkus7,search:speedrun,,UCAnzaHhB0ONtwDkYdc3MFCw
https://www.youtube.com/channel/UCq6VFHwMzcMXbuKyG7SQYIg,penguinz0,search:speedrun,,UCq6VFHwMzcMXbuKyG7SQYIg
https://www.youtube.com/channel/UCKy1dAqELo0zrOtPkf0eTMw,IGN,search:speedrun,,UCKy1dAqELo0zrOtPkf0eTMw
https://www.youtube.com/channel/UCupOeAF8co65kZ-N6zoVxmw,rekrap1,search:speedrun,,UCupOeAF8co65kZ-N6zoVxmw
https://www.youtube.com/channel/UC1HL3TABt6QGd_P857BH_CA,Evbo,search:speedrun,,UC1HL3TABt6QGd_P857BH_CA
https://www.youtube.com/channel/UCaFpiGti2mWqybtpECeMHMw,Xem,search:speedrun,,UCaFpiGti2mWqybtpECeMHMw
https://www.youtube.com/channel/UCm6GSA5OROHcIBNkXkH53zQ,tomatoanus,search:speedrun,,UCm6GSA5OROHcIBNkXkH53zQ
https://www.youtube.com/channel/UCtUbO6rBht0daVIOGML3c8w,Summoning Salt,search:speedrun,,UCtUbO6rBht0daVIOGML3c8w
https://www.youtube.com/channel/UCiVJZlfcmWMUiXv5oywnDhQ,Wifies,search:speedrun,,UCiVJZlfcmWMUiXv5oywnDhQ
https://www.youtube.com/channel/UC46lGUsrIR98kBKW3vuX7sg,seeker TV,search:speedrun,,UC46lGUsrIR98kBKW3vuX7sg
https://www.youtube.com/channel/UC6I9iYfcBQTCsiGpR3kV1Uw,Abyssoft,search:speedrun,,UC6I9iYfcBQTCsiGpR3kV1Uw
https://www.youtube.com/channel/UC3scOAITY_R7hLU4B7_rONg,Presidents Play,search:speedrun,,UC3scOAITY_R7hLU4B7_rONg
https://www.youtube.com/channel/UCE9UqO3J3G7_WqGJLWNzvjg,Frogarchist,search:speedrun,,UCE9UqO3J3G7_WqGJLWNzvjg
https://www.youtube.com/channel/UC3ltptWa0xfrDweghW94Acg,Karl Jobst,search:speedrun,,UC3ltptWa0xfrDweghW94Acg
https://www.youtube.com/channel/UCvJS1ATO9dcQ0r2u0KJ0PPg,ThaRixer,search:speedrun,,UCvJS1ATO9dcQ0r2u0KJ0PPg
https://www.youtube.com/channel/UCz8omRO257aTkdAfiBYGtbA,WendyJr_,search:speedrun,,UCz8omRO257aTkdAfiBYGtbA
https://www.youtube.com/channel/UCk9RA3G-aVQXvp7-Q4Ac9kQ,ZFG,search:speedrun,,UCk9RA3G-aVQXvp7-Q4Ac9kQ
https://www.youtube.com/channel/UCSRGC3yn3rYHPpMeetbiteg,Fintan0,search:speedrun,,UCSRGC3yn3rYHPpMeetbiteg
https://www.youtube.com/channel/UCbKWv2x9t6u8yZoB3KcPtnw,Alan Becker,search:speedrun,,UCbKWv2x9t6u8yZoB3KcPtnw
https://www.youtube.com/channel/UCbu2SsF-Or3Rsn3NxqODImw,GameSpot,search:game review,,UCbu2SsF-Or3Rsn3NxqODImw
